taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Osmeriformes;Osmeridae	Smelts	1.65
Animalia;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae	Butterflyfishes	1.65
Animalia;Chordata;Actinopteri;Galaxiiformes;Galaxiidae	Galaxiids	2.48
Animalia;Chordata;Mammalia;Carnivora;Felidae	Cats	3.31
Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae	Carps	0.83
Animalia;Chordata;Actinopteri;Pleuronectiformes	Flatfishes	6.61
Animalia;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba palumbus	Common Wood Pigeon	0.83
Animalia;Chordata;Aves;Psittaciformes;Psittacidae	African & New World Parrots	2.48
Animalia;Chordata;Mammalia;Primates;Hylobatidae	Gibbons	5.79
Animalia;Chordata;Chondrichthyes	Chordates	3.31
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus	Meadow Mice	9.09
Animalia;Chordata;Aves;Passeriformes;Passerellidae;Pipilo;Pipilo erythrophthalmus	Eastern Towhee	0.83
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus pollux	Japanese Fluvial Sculpin	1.65
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos decagrammus	Kelp greenling	2.48
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae	Sea Perches	8.26
Animalia;Chordata;Aves;Passeriformes;Vangidae;Tylas;Tylas eduardi	Tylas Vanga	2.48
Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Phalacrocorax	Cormorants	3.31
Animalia;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Cyprinella	Satinfin shiners	0.83
Animalia;Chordata;Actinopteri;Perciformes;Psychrolutidae;Malacocottus	Fathead sculpins	4.13
Animalia;Chordata;Mammalia;Carnivora;Odobenidae;Odobenus;Odobenus rosmarus	Atlantic Walrus	5.79
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus	Palawan Bearded Pig	7.44
Animalia;Chordata;Actinopteri;Esociformes	Mudminnows	1.65
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus	Chars	0.83
Animalia;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus pretiosus	Surf Smelt	1.65
Animalia;Chordata;Mammalia;Primates;Lemuridae;Hapalemur	Bamboo lemurs	5.79
Animalia;Chordata;Mammalia;Artiodactyla;Phocoenidae;Phocoena	Common porpoises	4.13
Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus coeruleopunctatus	Garrupa	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Suidae	Hogs	9.92
Animalia;Chordata;Mammalia;Artiodactyla;Delphinidae;Cephalorhynchus	Piebald dolphins	1.65
Animalia;Chordata;Aves;Charadriiformes;Scolopacidae	Sandpiper	2.48
Animalia;Chordata;Actinopteri;Perciformes;Gasterosteidae;Gasterosteus	Threespine sticklebacks	0.83
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Theropithecus;Theropithecus gelada	Gelada	3.31
Animalia;Chordata;Aves;Pelecaniformes	Herons	2.48
Animalia;Chordata;Actinopteri;Cypriniformes	Minnows	4.13
Animalia;Chordata;Actinopteri;Characiformes	Leporins	0.83
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	Rockcod	0.83
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;Microtus pennsylvanicus	Admiralty Island Meadow Vole (admiraltiae)	5.79
Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae	Cormorants	2.48
Animalia;Chordata;Mammalia;Perissodactyla	Odd-toed Ungulates	0.83
Animalia;Chordata;Aves;Columbiformes;Columbidae;Columba	Pigeon	2.48
Animalia;Chordata;Actinopteri;Aulopiformes	Aulopiforms	1.65
Animalia;Chordata;Actinopteri;Labriformes;Labridae	Wrasse	4.13
Animalia;Chordata;Amphibia;Gymnophiona	Caecilians	4.13
Animalia;Chordata;Aves;Gruiformes	Cranes	2.48
Animalia;Chordata;Aves;Passeriformes;Timaliidae;Gampsorhynchus;Gampsorhynchus rufulus	White-hooded Babbler	2.48
Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax featherstoni	Pitt Island Shag	0.83
Animalia;Chordata;Actinopteri;Osmeriformes	Argentines	1.65
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus malabaricus	Big-mouth Nannygai	2.48
Animalia;Chordata;Mammalia;Carnivora;Procyonidae	Procyonids	3.31
