taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Animalia;Cnidaria;Scyphozoa;Coronatae,1,1
Chromista;Foraminifera;NA;Rotaliida,3,3
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida,2,33
Chromista;Endomyxa;NA;Gromiida;Pseudodifflugiidae;Pseudodifflugia;Pseudodifflugia cf. gracilis,14,21
Fungi;Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella;Morchella importuna,4,6
Fungi;Basidiomycota;Agaricomycetes;Boletales,3,5
Chromista;Foraminifera;NA;Rotaliida;Globigerinidae;Globigerinita;Globigerinita uvula,1,1
Protozoa;Euglenozoa;Euglenida;Euglenales,6,217
Chromista;Ciliophora;Litostomatea;Haptorida,39,7617
Chromista;NA;Dinophyceae;Gonyaulacales;Protoceratiaceae;Protoceratium;Protoceratium reticulatum,5,5
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Carteria;Carteria sp. KMMCC FC-98,3,1855
Plantae;Streptophyta;Magnoliopsida;Santalales;Loranthaceae,6,19
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Bauhinia;Bauhinia acuminata,1,1
Protozoa;Euglenozoa;Euglenida;Euglenales;Euglenaceae,1,1
Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Ulmaridae;Phacellophora;Phacellophora camtschatica,6,6
Animalia;Annelida;Polychaeta;NA;Parergodrilidae;Stygocapitella;Stygocapitella josemariobrancoi,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;Candidatus Puniceispirillum;Candidatus Puniceispirillum marinum,3,3
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Komagataella,16,983
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomyces;Planctomyces sp. 599,4,9
Protozoa;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca urceolata,3,3
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus niger,5,5
Chromista;NA;Phaeophyceae;Asterocladales;Asterocladaceae;Asterocladon;Asterocladon rhodochortonoides,1,1
Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Nicolea;Nicolea zostericola,1,1
Animalia;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis,1,1
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae,2,7
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Candida/Saccharomycetales;[Candida] tunisiensis,2,2
Animalia;Cnidaria;Hydrozoa;Leptothecata;Aequoreidae;Aequorea,2,2
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia fraudulenta,6,6
Fungi;Mucoromycota;Endogonomycetes;Endogonales;Endogonaceae;Jimgerdemannia;Jimgerdemannia flammicorona,1,1
Plantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Raphanus;Raphanus sativus,2,2
Animalia;Chordata;Thaliacea;Pyrosomata,1,1
Animalia;Arthropoda;Insecta;Orthoptera;Gryllidae,2,2
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae,19,19
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Uradiophoridae;Heliospora;Heliospora caprellae,2,2
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Gregarinidae;Gregarina;Gregarina caledia,3,26
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Lynnellidae;Lynnella;Lynnella semiglobulosa,5,5
Chromista;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae;Loxophyllum,1,1
Chromista;Bacillariophyta;Fragilariophyceae,33,1235
Chromista;NA;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Chroomonas,4,4
Animalia;Echinodermata;Echinoidea,2,2
Animalia;Cnidaria;Staurozoa;Stauromedusae,22,22
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas,1,1
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Smittinidae;Smittoidea;Smittoidea spinigera,2,5
Chromista;Ciliophora;Litostomatea;Haptorida;Dileptidae;Dileptus;Dileptus sp.,6,12
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rubripirellula,6,6
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pterosperma;Pterosperma cristatum,7,7
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sydowii,6,43
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales,3,3
Plantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea;Ipomoea littoralis,1,1
Protozoa;Cercozoa;NA;Cercomonadida;Cercomonadidae;Paracercomonas;Paracercomonas sp. DB-0802-29,1,1
Plantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Gynochthodes;Gynochthodes officinalis,2,2
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Lecudina;Lecudina polymorpha,2,2
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;NA;Chytridiaceae sp.,3,18
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Zoothamnium;Zoothamnium pararbuscula,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus aporus,17,17
Animalia;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Favites;Favites abdita,1,1
Animalia;Cnidaria;Hydrozoa;Anthoathecata,5,5
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Trichocladium;Trichocladium achrasporum,1,1
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium jinhaense,6,6
Chromista;Ciliophora;Prostomatea;Prorodontida;Colepidae;Tiarina;Tiarina fusa,17,472
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;NA;Ustilaginaceae sp. LM72,1,1
Protozoa;Evosea;Variosea;NA;Flamellidae;Flamella;Flamella sp.,2,3
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula cryptocephala,11,11
Animalia;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus sp. AC-2010,4,4
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Ganoderma;Ganoderma tsugae,1,1
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium fuscum,2,2
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus niveoglaucus,1,1
Chromista;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Spathidium;Spathidium sp. 2 VBOEF-2011,2,2
Chromista;NA;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Katablepharis;Katablepharis japonica,1,1
Animalia;Annelida;Clitellata;Tubificida;Naididae;Tubifex;Tubifex tubifex,2,5
Animalia;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Parasagitta;Parasagitta elegans,5,5
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp. DDZ-2010a,2,2
Protozoa;Cercozoa;NA;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas sphagnicola,4,7
Fungi;NA;Aphelidea;NA;Aphelidiaceae;Paraphelidium;Paraphelidium tribonematis,39,834
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria atra,5,17
Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilisepta;Mytilisepta virgata,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius sp. MCA1611,1,1
Animalia;Arthropoda;Malacostraca;Decapoda,3,3
Plantae;Chlorophyta,103,10071
Protozoa;NA;Choanoflagellata,42,291
Animalia;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans,3,3
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;Periconia banksiae,1,1
Chromista;Bacillariophyta;Bacillariophyceae;Surirellales;Surirellaceae;Campylodiscus,6,6
Chromista;Apicomplexa;Marosporida;Agamococcidiorida;Rhytidocystidae;Rhytidocystis;Rhytidocystis dobrovolskiji,3,3
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meruliaceae;Phlebia;Phlebia radiata,11,54
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia,7,7
Chromista;NA;Xanthophyceae;Mischococcales,5,5
Plantae;Streptophyta;Magnoliopsida;Poales;Eriocaulaceae;Comanthera;Comanthera paepalophylla,3,3
Animalia;Cnidaria;Anthozoa;Pennatulacea,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;NA;[Candida] glaebosa,1,1
Chromista;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi,20,20
Fungi;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Marchandiomyces,2,2
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Heterotetracystis;Heterotetracystis akinetos,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia littorea,2,2
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona,7,7
Chromista;Ciliophora;Colpodea;Cyrtolophosidida;Cyrtolophosididae;Aristerostoma,1,1
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Peregrinia;Peregrinia clavideferens,17,104
Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Erysiphe;Erysiphe heraclei,2,2
Chromista;NA;Dictyochophyceae;Florenciellales,8,8
Plantae;Streptophyta;Magnoliopsida;Malvales;Dipterocarpaceae;Shorea,8,45
Chromista;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Anteholosticha;Anteholosticha monilata,1,1
Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Faucheaceae,1,1
Fungi;Ascomycota;Lecanoromycetes;Lecideales;Lecideaceae;Lecidea;Lecidea atrobrunnea,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Didymocystis;Didymocystis inermis,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;NA;Chytriomycetaceae sp.,14,626
Fungi;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis;Piptocephalis cylindrospora,1,1
Animalia;Cnidaria;Anthozoa;Actiniaria;Halcampoididae;Halcampoides;Halcampoides purpureus,2,2
Fungi;Basidiomycota;Agaricomycetes;Russulales,17,1929
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia sp.,1,1
Animalia;Rotifera;Eurotatoria;Ploima;Brachionidae;Brachionus,24,587
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Ciboria;Ciboria sp. FC-2787,1,1
Chromista;NA;Dinophyceae;Gonyaulacales;Ceratiaceae;Ceratium;Ceratium sp. HCB-2005,1,1
Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex salinarius,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Lentibacter;Lentibacter sp.,1,1
Chromista;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Plagioselmis;Plagioselmis nannoplanctica,5,158
Animalia;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia cossack,6,6
Animalia;Cnidaria;Anthozoa;Actiniaria,1,1
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas tetrarhynchus,8,8
Plantae;Streptophyta;Magnoliopsida;Asterales;Goodeniaceae;Goodenia,2,2
Fungi;Basidiomycota,105,34225
Plantae;Streptophyta;Magnoliopsida;Rosales;Moraceae;Dorstenia;Dorstenia maris,4,4
Chromista;Ciliophora;Spirotrichea;Stichotrichida;Amphisiellidae;Amphisiella;Amphisiella aff. milnei FG-2016,1,1
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes warreni,4,4
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera jadinii,3,3
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum,2,2
Plantae;Streptophyta;Magnoliopsida;Dioscoreales;Burmanniaceae;Gymnosiphon,1,1
Protozoa;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Acanthocorbis;Acanthocorbis unguiculata,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae,2,2
Plantae;Chlorophyta;NA;NA;Pycnococcaceae;Pycnococcus,2,2
Chromista;NA;Dictyochophyceae;Pedinellales;NA;Pteridomonas;Pteridomonas danica,6,6
Animalia;Annelida;Polychaeta;Phyllodocida;Goniadidae;Goniada;Goniada brunnea,5,5
Chromista;Ciliophora;Prostomatea;Prorodontida;Colepidae;Coleps;Coleps amphacanthus,12,460
Fungi;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia;Linnemannia elongata,2,163
Chromista;NA;Dinophyceae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae,11,11
Animalia;Arthropoda;Arachnida;Sarcoptiformes;Oppiidae;Medioppia;Medioppia subpectinata,1,1
Animalia;Arthropoda;Malacostraca;Decapoda;Palinuridae;Jasus;Jasus tristani,1,1
Plantae;Streptophyta;Jungermanniopsida;Porellales;Porellaceae;Porella;Porella cordaeana,1,1
Chromista;NA;Polycystinea;Collodaria;Sphaerozoidae;Collozoum;Collozoum sp.,1,1
Chromista;Nebulidia;Nebulidea;Nebulidida;Nebulidae,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra weissflogii,1,1
Animalia;Rotifera;Eurotatoria;Flosculariaceae;Flosculariidae;Floscularia,1,1
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;NA;Resinicium,6,93
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Condylostomatidae;Condylostoma;Condylostoma sp.,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Ochrobactrum;Ochrobactrum sp. TPH-5,2,3
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Oxytricha;Oxytricha longigranulosa,2,65
Chromista;NA;Chrysophyceae;Hydrurales;Hydruraceae;Hydrurus,18,18
Chromista;NA;Bigyra;Bicosoecida;Cafeteriaceae;Pseudobodo,2,2
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium sp. HB2,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,1,1
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus canadensis,7,10
Animalia;Mollusca;Gastropoda;Nudibranchia;Eubranchidae;Eubranchus;Eubranchus exiguus,2,2
Chromista;Haptophyta;NA;Pavlovales;Pavlovaceae,3,12
Animalia;Arthropoda;Malacostraca;Decapoda;Leucosiidae;Pyrhila;Pyrhila pisum,1,1
Fungi;Mucoromycota,3,4
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Lablab;Lablab purpureus,1,1
Plantae;Chlorophyta;Trebouxiophyceae;NA;NA;Picochlorum;Picochlorum sp. MI09,1,1
Plantae;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Klebsormidiaceae;Klebsormidium;Klebsormidium flaccidum,5,22
Chromista;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus sp. CCMP1701,8,8
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Thaumatomastix;Thaumatomastix sp. 4 JMS-2012,4,4
Protozoa;NA;Ichthyosporea;Ichthyophonida;NA;Anurofeca,1,1
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Nusuttodinium;Nusuttodinium poecilochroum,1,1
Fungi;Mucoromycota;Glomeromycetes;Diversisporales;Gigasporaceae;Scutellospora,2,2
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa,3,14
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania oceanensis,1,1
Fungi;Basidiomycota;Dacrymycetes;Dacrymycetales;Cerinomycetaceae;Cerinomyces,2,4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Liberibacter;Candidatus Liberibacter asiaticus,9,11
Chromista;NA;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;Desmarestia dudresnayi,23,23
Plantae;Rhodophyta;Florideophyceae,20,20
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;Pelobacter sp.,1,1
Fungi;Basidiomycota;Cystobasidiomycetes;NA;NA;NA;Cystobasidiomycetes sp.,2,2
Protozoa;Evosea;NA;Mastigamoebida,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis,10,10
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Adeleidae;Adelina;Adelina dimidiata,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pseudoruegeria;Pseudoruegeria sp.,8,8
Chromista;NA;Phaeophyceae;Ectocarpales;Ectocarpaceae;Ectocarpus,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Discostella;Discostella woltereckii,2,2
Chromista;NA;Chrysophyceae;Chromulinales;Chrysoamoebidaceae;Chrysamoeba,3,3
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia polystachya,1,1
Chromista;NA;Chrysophyceae;Chromulinales,13,13
Chromista;Ciliophora;Oligohymenophorea,19,19
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae,1,1
Chromista;Oomycota;NA;Saprolegniales;Saprolegniaceae;Pythiopsis;Pythiopsis cymosa,3,3
Protozoa;NA;NA;Apusomonadida;Apusomonadidae;Apusomonas;Apusomonas proboscidea,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Candida/Metschnikowiaceae;[Candida] akabanensis,1,1
Fungi;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Entomophthora;Entomophthora muscae,3,3
Chromista;Ciliophora;Spirotrichea;Choreotrichida,11,11
Chromista;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Salpingella;Salpingella sp.,6,6
Chromista;NA;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium polongum,4,4
Plantae;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Comptonella,4,4
Animalia;Nemertea;Enopla;Monostilifera,3,3
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium pallidum,11,11
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Roseitalea;Roseitalea porphyridii,1,1
Chromista;NA;Dinophyceae;Peridiniales;Podolampadaceae;Podolampas;Podolampas bipes,1,1
Plantae;Streptophyta;Magnoliopsida;Lamiales,25,37
Chromista;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria parva,1,1
Plantae;Chlorophyta;Ulvophyceae;Chlorocystidales;Chlorocystidaceae;Desmochloris;Desmochloris mollenhaueri,1,1
Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Pennellidae;Lernaeocera;Lernaeocera branchialis,1,1
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Xarifiidae;Xarifia;Xarifia sp. New Caledonia-RJH-2004,1,1
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Poria;Poria versipora,1,1
Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Schistocerca;Schistocerca gregaria,3,3
Chromista;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora sp. 35,1,1
Plantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium diazoefficiens,30,1831
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium willei,7,7
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium dorsalisulcum,4,4
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Plagiotropidaceae;Plagiolemma;Plagiolemma distortum,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Candolleomyces;Candolleomyces candolleanus,2,8
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella distinguenda,40,377
Chromista;NA;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Ensiculifera,4,4
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus aggregatus,3,22
Chromista;Oomycota;NA;Pythiales;Pythiaceae;Pythium,32,4502
Chromista;Endomyxa;Phytomyxea;Plasmodiophorida;Plasmodiophoridae,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;Methylophaga lonarensis,3,3
Chromista;Bacillariophyta;Fragilariophyceae;Rhabdonematales;Grammatophoraceae;Grammatophora;Grammatophora marina,1,1
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phyllostachys;Phyllostachys nigra,1,1
Chromista;Foraminifera;NA;Rotaliida;Glabratellidae,1,1
Chromista;NA;Cryptophyceae;Pyrenomonadales,7,7
Plantae;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva lactuca,1,1
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Chilodonellidae;Chilodonella;Chilodonella acuta,2,2
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales,23,53
Plantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Noronhia;Noronhia oblanceolata,1,1
Chromista;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium,8,8
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria,15,15
Animalia;Arthropoda;Thecostraca;NA;Poecilasmatidae;Octolasmis;Octolasmis sp. KACb00064,1,1
Animalia;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Parasagitta,3,3
Chromista;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas,21,1190
Plantae;Streptophyta;Magnoliopsida;Malpighiales;Podostemaceae;Dalzellia,1,1
Animalia;Annelida;Polychaeta;Sabellida;Serpulidae,3,7
Fungi;Ascomycota;Sordariomycetes;NA;NA;Asteroma;Asteroma alneum,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium chrysogenum,6,10
Chromista;Oomycota;NA;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora sp.,1,1
Animalia;Cnidaria;Hydrozoa;Leptothecata;Tiaropsidae;Tiaropsidium;Tiaropsidium kelseyi,1,1
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Stauroneidaceae,4,4
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia,129,51668
Chromista;Ciliophora,1,1
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Bythopirellula;Bythopirellula goksoeyrii,5,5
Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio faecicola,1,1
Fungi;Mucoromycota;Glomeromycetes;Diversisporales;Gigasporaceae,1,1
Chromista;NA;Dinophyceae;Peridiniales;Ostreopsidaceae;Ostreopsis;Ostreopsis cf. ovata,4,4
Plantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Corchorus,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,2,2
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp. W3347,1,1
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces borealis,1,1
Chromista;Haptophyta;NA;Isochrysidales;Isochrysidaceae;Chrysotila;Chrysotila carterae,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella;Kurtzmaniella cleridarum,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella;Skermanella sp. TT6,1,1
Chromista;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema frauenfeldii,1,1
Protozoa;Euglenozoa;Euglenida;Euglenales;Euglenaceae;Euglena;Euglena exilis,1,1
Chromista;NA;Chrysophyceae;NA;NA;NA;Chrysophyceae sp. CCMP261,2,2
Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae,1,1
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus,5,5
Bacteria;Pseudomonadota;Alphaproteobacteria;Kordiimonadales;NA;NA;Kordiimonadales bacterium IMCC3096,2,2
Fungi;Ascomycota;Lecanoromycetes;Peltigerales,1,1
Plantae;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium sativum,3,13
Chromista;Endomyxa;NA;Vampyrellida;Leptophryidae;Vernalophrys;Vernalophrys algivore,4,12
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae,24,492
Chromista;Ciliophora;Nassophorea;Nassulida;Nassulidae;Obertrumia;Obertrumia georgiana,3,3
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tephroseris,19,19
Animalia;Mollusca;Gastropoda;Architaenioglossa;Cyclophoridae;Cyclophorus;Cyclophorus abditus,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium expansum,1,1
